,Time,Low,High,Open,Close,Volume
599,2023-06-16 20:00:00,26165.98,26783.2,26329.6,26506.56,7209.4251028
598,2023-06-17 20:00:00,26245.27,26693.11,26507.97,26336.46,5233.68378154
597,2023-06-18 20:00:00,26250.0,27040.64,26336.46,26837.78,9643.06748389
596,2023-06-19 20:00:00,26637.41,28417.11,26839.04,28320.43,28704.55295587
595,2023-06-20 20:00:00,28271.67,30800.0,28320.41,29995.08,31445.78143275
594,2023-06-21 20:00:00,29539.57,30513.25,29999.85,29886.31,18457.66785815
593,2023-06-22 20:00:00,29802.65,31443.67,29886.25,30707.61,22659.54058513
592,2023-06-23 20:00:00,30265.88,30815.92,30709.59,30547.18,6883.28318615
591,2023-06-24 20:00:00,30288.33,31057.86,30547.3,30480.24,6265.47434464
590,2023-06-25 20:00:00,29900.0,30662.66,30480.24,30272.18,12491.83081677
589,2023-06-26 20:00:00,30228.44,31020.54,30272.24,30697.38,11995.526853
588,2023-06-27 20:00:00,29840.0,30716.93,30696.06,30074.94,9391.66542094
587,2023-06-28 20:00:00,30036.18,30838.0,30074.93,30446.47,12261.34048625
586,2023-06-29 20:00:00,29417.14,31277.0,30445.67,30466.72,26013.22734909
585,2023-06-30 20:00:00,30312.8,30659.33,30466.73,30587.21,4012.76538882
584,2023-07-01 20:00:00,30165.39,30791.75,30587.22,30613.51,4829.83871313
583,2023-07-02 20:00:00,30569.0,31399.08,30613.57,31161.8,11391.98257522
582,2023-07-03 20:00:00,30628.3,31333.0,31162.71,30771.25,7233.95188576
581,2023-07-04 20:00:00,30189.56,30882.95,30772.93,30499.27,8782.6192239
580,2023-07-05 20:00:00,29850.0,31525.1,30499.27,29899.38,17229.92231032
579,2023-07-06 20:00:00,29715.87,30456.0,29895.6,30352.08,11137.14221055
578,2023-07-07 20:00:00,30047.78,30388.91,30350.35,30291.69,3856.11078847
577,2023-07-08 20:00:00,30066.95,30451.78,30291.69,30168.38,3884.04687903
576,2023-07-09 20:00:00,29955.0,31055.75,30168.26,30419.89,12703.78162563
575,2023-07-10 20:00:00,30304.45,30811.65,30419.89,30626.55,10653.5761104
574,2023-07-11 20:00:00,30200.0,31000.0,30624.65,30381.81,14881.70511963
573,2023-07-12 20:00:00,30250.73,31862.21,30383.26,31471.83,26135.6192364
572,2023-07-13 20:00:00,29920.31,31645.66,31471.83,30330.52,19272.20339271
571,2023-07-14 20:00:00,30254.67,30406.27,30330.93,30301.65,2559.07232743
570,2023-07-15 20:00:00,30075.93,30457.03,30302.01,30247.64,4021.41012275
569,2023-07-16 20:00:00,29668.58,30345.45,30247.56,30143.08,10632.8066781
568,2023-07-17 20:00:00,29525.0,30249.3,30143.08,29861.93,11124.83936583
567,2023-07-18 20:00:00,29757.44,30196.24,29861.92,29916.72,8804.54675154
566,2023-07-19 20:00:00,29564.19,30421.29,29916.69,29809.13,11494.95348803
565,2023-07-20 20:00:00,29729.48,30060.28,29809.13,29907.98,7598.61053359
564,2023-07-21 20:00:00,29626.86,30002.38,29907.15,29795.03,3629.48251055
563,2023-07-22 20:00:00,29733.55,30350.7,29793.62,30081.61,4513.83214295
562,2023-07-23 20:00:00,28850.0,30099.99,30081.61,29176.98,14484.27557634
561,2023-07-24 20:00:00,29046.0,29376.51,29176.98,29225.14,7140.85368901
560,2023-07-25 20:00:00,29089.54,29686.41,29225.11,29353.23,9635.09206614
559,2023-07-26 20:00:00,29075.0,29571.42,29350.88,29214.92,7327.4507106
558,2023-07-27 20:00:00,29115.32,29532.45,29214.93,29316.15,7105.49434797
557,2023-07-28 20:00:00,29253.44,29411.09,29316.05,29355.71,2893.05298823
556,2023-07-29 20:00:00,29033.0,29450.0,29356.65,29281.39,4387.57256615
555,2023-07-30 20:00:00,29102.65,29526.99,29280.41,29230.67,8793.83887155
554,2023-07-31 20:00:00,28477.0,29726.73,29230.61,29697.27,17751.31113096
553,2023-08-01 20:00:00,28903.79,30033.0,29699.25,29164.22,17967.34799565
552,2023-08-02 20:00:00,28938.93,29399.97,29163.87,29174.18,8920.01477716
551,2023-08-03 20:00:00,28747.1,29312.28,29174.84,29076.48,7291.14687702
550,2023-08-04 20:00:00,28946.17,29111.87,29077.04,29047.12,2490.84710469
549,2023-08-05 20:00:00,28955.0,29163.24,29047.33,29040.01,2461.64012073
548,2023-08-06 20:00:00,28660.53,29246.0,29040.01,29179.21,9200.08523317
547,2023-08-07 20:00:00,29104.65,30222.0,29179.28,29770.01,15610.25491294
546,2023-08-08 20:00:00,29344.16,30128.88,29770.01,29562.76,10451.45167511
545,2023-08-09 20:00:00,29306.0,29709.38,29562.76,29424.03,7104.55622213
544,2023-08-10 20:00:00,29213.59,29534.14,29424.04,29400.45,5961.21744691
543,2023-08-11 20:00:00,29349.98,29477.31,29400.45,29416.96,1906.1707986
542,2023-08-12 20:00:00,29247.15,29447.6,29417.19,29275.94,2128.37437697
541,2023-08-13 20:00:00,29072.96,29665.27,29275.78,29405.49,7063.46806345
540,2023-08-14 20:00:00,29046.58,29464.62,29405.49,29170.14,5815.32226178
539,2023-08-15 20:00:00,28690.37,29231.92,29170.13,28700.51,9669.42535941
538,2023-08-16 20:00:00,25234.76,28751.84,28700.51,26627.57,27723.2108711
537,2023-08-17 20:00:00,25610.0,26834.37,26627.21,26048.89,21190.13041519
536,2023-08-18 20:00:00,25793.11,26269.11,26048.9,26096.42,6554.05344759
535,2023-08-19 20:00:00,25975.01,26296.78,26096.4,26189.14,4345.07228674
534,2023-08-20 20:00:00,25814.0,26260.25,26189.36,26125.18,9936.98111023
533,2023-08-21 20:00:00,25350.0,26137.99,26125.16,26042.11,12418.87289323
532,2023-08-22 20:00:00,25796.47,26818.28,26041.94,26427.54,15743.86437208
531,2023-08-23 20:00:00,25850.0,26567.38,26427.73,26163.49,10002.33992977
530,2023-08-24 20:00:00,25750.0,26294.53,26163.49,26049.39,10926.33773703
529,2023-08-25 20:00:00,25971.44,26115.44,26049.4,26009.61,1862.15021008
528,2023-08-26 20:00:00,25961.81,26171.87,26009.62,26091.16,2069.84831133
527,2023-08-27 20:00:00,25850.0,26232.88,26091.16,26101.04,5460.42038393
526,2023-08-28 20:00:00,25903.18,28184.89,26101.03,27717.98,21402.10102797
525,2023-08-29 20:00:00,27015.75,27775.0,27717.15,27306.06,9793.95679478
524,2023-08-30 20:00:00,25660.61,27576.99,27306.06,25932.45,14462.02738125
523,2023-08-31 20:00:00,25307.37,26142.28,25931.51,25794.88,14995.72610123
522,2023-09-01 20:00:00,25707.3,25982.48,25795.61,25867.83,3810.77429103
521,2023-09-02 20:00:00,25792.29,26123.0,25867.82,25969.83,3434.5195669
520,2023-09-03 20:00:00,25627.0,26093.07,25969.83,25816.13,4635.8154655
519,2023-09-04 20:00:00,25551.36,25884.04,25816.14,25783.91,6051.14811848
518,2023-09-05 20:00:00,25358.0,26025.78,25782.49,25747.63,9374.33792185
517,2023-09-06 20:00:00,25595.8,26440.55,25747.63,26276.3,10885.13902329
516,2023-09-07 20:00:00,25640.1,26460.41,26276.38,25906.34,11149.95850667
515,2023-09-08 20:00:00,25791.45,25942.69,25906.33,25897.82,2225.82211069
514,2023-09-09 20:00:00,25578.01,26023.89,25897.82,25831.76,4361.60285333
513,2023-09-10 20:00:00,24900.0,25891.6,25831.77,25152.14,13404.11510617
512,2023-09-11 20:00:00,25120.76,26556.91,25152.13,25840.61,19789.48058328
511,2023-09-12 20:00:00,25763.43,26413.59,25839.95,26226.65,10099.7383701
510,2023-09-13 20:00:00,26128.25,26869.06,26227.16,26532.76,12929.08237721
509,2023-09-14 20:00:00,26213.96,26892.65,26532.5,26602.42,9345.93913701
508,2023-09-15 20:00:00,26453.32,26777.0,26601.71,26569.69,4132.04817572
507,2023-09-16 20:00:00,26405.04,26626.49,26569.69,26530.95,3252.26976131
506,2023-09-17 20:00:00,26382.13,27427.34,26530.96,26764.49,17493.70820354
505,2023-09-18 20:00:00,26666.93,27500.0,26764.03,27216.13,14386.07884728
504,2023-09-19 20:00:00,26798.98,27393.78,27216.52,27123.94,11590.24027633
503,2023-09-20 20:00:00,26359.7,27163.48,27122.65,26564.54,11801.98943642
502,2023-09-21 20:00:00,26467.94,26742.86,26564.54,26578.4,8563.0523313
501,2023-09-22 20:00:00,26513.0,26638.58,26578.4,26579.6,2597.25705711
500,2023-09-23 20:00:00,26118.86,26731.1,26579.59,26250.24,4587.80529114
499,2023-09-24 20:00:00,25983.78,26444.95,26248.17,26296.08,10762.98401397
498,2023-09-25 20:00:00,26080.0,26397.59,26296.07,26208.44,7016.42122845
497,2023-09-26 20:00:00,26088.37,26830.0,26208.43,26357.62,14123.89690964
496,2023-09-27 20:00:00,26321.37,27313.86,26357.56,27027.14,18975.87763693
495,2023-09-28 20:00:00,26661.71,27238.9,27027.44,26907.0,12712.27177691
494,2023-09-29 20:00:00,26884.86,27097.25,26905.57,26961.0,4413.30948101
493,2023-09-30 20:00:00,26955.25,28062.62,26961.0,27995.46,8747.06888783
492,2023-10-01 20:00:00,27302.3,28613.37,27995.46,27504.04,25148.25341854
491,2023-10-02 20:00:00,27160.47,27672.12,27504.03,27428.96,14334.10857629
490,2023-10-03 20:00:00,27208.65,27842.38,27428.96,27786.75,10238.17053376
489,2023-10-04 20:00:00,27358.05,28140.0,27786.12,27412.96,14136.04783544
488,2023-10-05 20:00:00,27173.41,28288.88,27413.15,27945.17,12908.75146274
487,2023-10-06 20:00:00,27861.2,28040.84,27945.17,27976.43,3489.91595717
486,2023-10-07 20:00:00,27708.6,28109.94,27976.44,27933.55,4118.56381073
485,2023-10-08 20:00:00,27268.63,28003.7,27933.54,27596.67,10218.62556021
484,2023-10-09 20:00:00,27291.81,27739.94,27596.67,27393.29,10265.79357936
483,2023-10-10 20:00:00,26521.32,27478.61,27393.28,26869.19,16466.26612207
482,2023-10-11 20:00:00,26537.72,26939.55,26867.97,26750.51,7881.21504857
481,2023-10-12 20:00:00,26662.62,27122.24,26752.06,26863.53,8694.60097059
480,2023-10-13 20:00:00,26797.0,26988.12,26863.54,26851.71,2786.76009652
479,2023-10-14 20:00:00,26806.06,27301.37,26851.71,27186.13,6215.85130529
478,2023-10-15 20:00:00,27135.92,30000.0,27186.13,28520.24,36471.7502374
477,2023-10-16 20:00:00,28083.19,28637.21,28520.24,28408.83,14171.43180714
476,2023-10-17 20:00:00,28151.6,28999.98,28408.51,28326.51,11820.68114047
475,2023-10-18 20:00:00,28122.57,28938.96,28326.24,28735.34,12662.68000489
474,2023-10-19 20:00:00,28591.85,30248.0,28734.51,29684.73,20095.91529217
473,2023-10-20 20:00:00,29475.06,30369.0,29684.73,29924.84,6369.9347533
472,2023-10-21 20:00:00,29670.0,30275.0,29925.91,30004.15,5720.28965895
471,2023-10-22 20:00:00,29890.89,35000.0,30004.14,33087.58,33228.46734771
470,2023-10-23 20:00:00,32851.45,35157.23,33079.72,33922.52,38506.35962554
469,2023-10-24 20:00:00,33690.91,35144.0,33921.66,34506.35,18668.45817435
468,2023-10-25 20:00:00,33735.86,34843.04,34504.33,34154.71,15867.44697165
467,2023-10-26 20:00:00,33400.0,34249.99,34153.35,33906.09,13879.04330119
466,2023-10-27 20:00:00,33867.38,34500.0,33905.96,34085.42,4372.52724873
465,2023-10-28 20:00:00,33937.31,34763.0,34085.42,34534.48,5547.09585659
464,2023-10-29 20:00:00,34077.9,34871.0,34534.48,34493.79,10183.77616922
463,2023-10-30 20:00:00,34038.79,34732.18,34493.51,34656.4,9282.02866788
462,2023-10-31 20:00:00,34079.46,35647.19,34656.38,35440.1,16197.45981756
461,2023-11-01 20:00:00,34311.73,35997.8,35440.1,34950.0,13455.65527035
460,2023-11-02 20:00:00,34100.0,34954.6,34947.92,34731.27,13961.70014519
459,2023-11-03 20:00:00,34599.85,35278.4,34730.32,35087.01,4696.70148339
458,2023-11-04 20:00:00,34500.0,35410.0,35087.43,35035.42,5892.67329337
457,2023-11-05 19:00:00,34753.66,35294.12,35035.79,35059.46,7088.27153194
456,2023-11-06 19:00:00,34530.67,35963.0,35059.46,35416.28,13841.59195597
455,2023-11-07 19:00:00,35103.14,36113.59,35416.63,35639.13,12253.15808483
454,2023-11-08 19:00:00,35555.16,37999.0,35639.13,36706.59,29045.85195583
453,2023-11-09 19:00:00,36334.46,37548.8,36704.01,37324.83,15183.168535
452,2023-11-10 19:00:00,36701.5,37424.03,37324.84,37139.12,5344.45382766
451,2023-11-11 19:00:00,36740.9,37247.0,37139.94,37086.03,3317.50278576
450,2023-11-12 19:00:00,36351.0,37442.48,37086.5,36475.67,10543.29564712
449,2023-11-13 19:00:00,34758.64,36756.16,36475.68,35554.09,16008.49077729
448,2023-11-14 19:00:00,35358.45,37987.0,35554.1,37885.35,19941.6757032
447,2023-11-15 19:00:00,35511.11,37958.75,37885.35,36161.15,18455.96829165
446,2023-11-16 19:00:00,35869.0,36831.99,36161.15,36630.38,12218.85138403
445,2023-11-17 19:00:00,36205.89,36857.15,36631.56,36594.89,3468.39821362
444,2023-11-18 19:00:00,36404.52,37546.62,36596.14,37391.19,4366.44892344
443,2023-11-19 19:00:00,36720.0,37784.07,37389.06,37475.64,14114.01039926
442,2023-11-20 19:00:00,35744.9,37675.77,37472.76,35751.89,20837.73934338
441,2023-11-21 19:00:00,35633.0,37875.0,35755.33,37424.31,17606.97239528
440,2023-11-22 19:00:00,36888.0,37653.67,37424.31,37304.05,7211.31754936
439,2023-11-23 19:00:00,37257.56,38454.0,37304.04,37745.84,17507.8900414
438,2023-11-24 19:00:00,37615.91,37920.27,37746.29,37805.99,3567.42244915
437,2023-11-25 19:00:00,37156.72,37842.17,37806.84,37462.79,6113.0562518
436,2023-11-26 19:00:00,36715.1,37578.42,37462.01,37241.63,13510.45476059
435,2023-11-27 19:00:00,36873.55,38425.96,37241.64,37838.26,18156.47258233
434,2023-11-28 19:00:00,37581.93,38480.0,37838.26,37863.84,15162.68883049
433,2023-11-29 19:00:00,37500.0,38152.18,37864.79,37732.27,8081.19248391
432,2023-11-30 19:00:00,37618.25,39000.0,37732.27,38703.54,16395.90197806
431,2023-12-01 19:00:00,38660.03,39740.0,38706.55,39478.95,7540.7688183
430,2023-12-02 19:00:00,39293.02,40221.22,39467.42,39984.81,7153.15663784
429,2023-12-03 19:00:00,39983.6,42410.46,39984.81,41987.24,21993.05995554
428,2023-12-04 19:00:00,41384.03,45000.0,41985.53,44084.39,24018.76035474
427,2023-12-05 19:00:00,43369.0,44290.37,44086.33,43764.05,15977.55938336
426,2023-12-06 19:00:00,42846.53,44057.23,43766.41,43280.95,13055.36691088
425,2023-12-07 19:00:00,43087.17,44754.99,43281.11,44192.87,13579.40860176
424,2023-12-08 19:00:00,43586.14,44384.68,44192.86,43723.25,5469.40708431
423,2023-12-09 19:00:00,43562.06,44049.51,43722.84,43793.68,3919.09423649
422,2023-12-10 19:00:00,40150.0,43811.81,43793.67,41229.61,25524.67094691
421,2023-12-11 19:00:00,40636.51,42088.56,41229.61,41477.39,13414.86773655
420,2023-12-12 19:00:00,40553.15,43475.0,41477.6,42885.54,15798.66423037
419,2023-12-13 19:00:00,41426.76,43442.15,42887.39,43027.77,15434.25971384
418,2023-12-14 19:00:00,41640.51,43095.71,43027.77,41933.89,10861.72864667
417,2023-12-15 19:00:00,41626.66,42680.2,41934.84,42237.29,5315.65582307
416,2023-12-16 19:00:00,41222.0,42367.82,42235.23,41349.59,6649.06495765
415,2023-12-17 19:00:00,40508.01,42754.79,41349.59,42650.01,13394.33474824
414,2023-12-18 19:00:00,41780.0,43461.86,42650.01,42266.22,13403.93447528
413,2023-12-19 19:00:00,42184.48,44324.86,42266.25,43674.77,19307.1089644
412,2023-12-20 19:00:00,43295.78,44250.0,43673.11,43875.32,13170.9728222
411,2023-12-21 19:00:00,43412.82,44424.36,43875.56,44013.73,10733.55348079
410,2023-12-22 19:00:00,43333.35,44033.84,44013.65,43726.35,4075.08953972
409,2023-12-23 19:00:00,42614.17,43985.67,43728.36,43025.03,4947.00165569
408,2023-12-24 19:00:00,42755.35,43818.29,43025.02,43589.67,4799.73104807
407,2023-12-25 19:00:00,41600.67,43605.0,43589.67,42515.53,13035.02745535
406,2023-12-26 19:00:00,42111.47,43709.98,42521.21,43474.4,12917.48404475
405,2023-12-27 19:00:00,42265.08,43830.34,43469.06,42581.23,13583.91599843
404,2023-12-28 19:00:00,41300.0,43137.1,42581.23,42063.45,16756.43323881
403,2023-12-29 19:00:00,41518.19,42593.73,42064.22,42141.03,11609.82377015
402,2023-12-30 19:00:00,41964.68,42850.0,42139.32,42288.06,11397.57303743
401,2023-12-31 19:00:00,42175.65,44240.8,42288.58,44220.78,7977.72851143
400,2024-01-01 19:00:00,44195.13,45925.82,44220.78,44972.8,29583.38407747
399,2024-01-02 19:00:00,40625.68,45519.32,44972.81,42862.44,32281.85234351
398,2024-01-03 19:00:00,42650.0,44800.0,42860.58,44193.29,18193.81684353
397,2024-01-04 19:00:00,42450.0,44443.37,44198.35,44186.59,18073.09561495
396,2024-01-05 19:00:00,43436.5,44260.95,44187.76,43992.44,5691.43460343
395,2024-01-06 19:00:00,43629.7,44510.01,43992.79,43950.28,5931.34650683
394,2024-01-07 19:00:00,43200.44,47330.0,43954.52,46995.1,26447.17326625
393,2024-01-08 19:00:00,44701.54,47901.0,46995.09,46124.08,26305.56366042
392,2024-01-09 19:00:00,44320.01,47732.5,46120.79,46666.11,36534.39765866
391,2024-01-10 19:00:00,45555.55,49102.29,46678.54,46342.66,38150.89478822
390,2024-01-11 19:00:00,41444.97,46522.2,46344.96,42773.03,46862.43347199
389,2024-01-12 19:00:00,42427.0,43250.0,42775.1,42839.33,10998.76404264
388,2024-01-13 19:00:00,41680.73,43064.13,42839.32,41697.33,7834.26155365
387,2024-01-14 19:00:00,41680.0,43331.91,41698.13,42490.16,10869.45830576
386,2024-01-15 19:00:00,42028.02,43569.23,42481.69,43130.45,18180.4405406
385,2024-01-16 19:00:00,42160.0,43185.47,43130.35,42739.49,16381.8407159
384,2024-01-17 19:00:00,40600.05,42877.22,42737.68,41293.5,25097.42399202
383,2024-01-18 19:00:00,40236.49,42159.52,41290.57,41624.07,22745.55271173
382,2024-01-19 19:00:00,41418.55,41846.15,41623.94,41666.67,4836.63124969
381,2024-01-20 19:00:00,41472.49,41858.59,41666.67,41554.05,3138.26294449
380,2024-01-21 19:00:00,39372.44,41658.0,41553.92,39524.27,26539.34338688
379,2024-01-22 19:00:00,38501.0,40144.49,39524.27,39878.3,21966.56334645
378,2024-01-23 19:00:00,39382.15,40527.26,39878.28,40077.78,17438.97734668
377,2024-01-24 19:00:00,39503.0,40282.87,40079.87,39941.66,12978.7331205
376,2024-01-25 19:00:00,39805.95,42243.14,39941.66,41814.8,19359.37921096
375,2024-01-26 19:00:00,41383.94,42199.99,41814.96,42126.55,3774.45056434
374,2024-01-27 19:00:00,41617.53,42839.07,42126.55,42034.59,4298.44263812
373,2024-01-28 19:00:00,41787.35,43326.77,42034.57,43306.18,12529.09255982
372,2024-01-29 19:00:00,42680.2,43872.99,43303.3,42942.78,16384.61219735
371,2024-01-30 19:00:00,42265.77,43741.94,42937.72,42548.08,15320.62044085
370,2024-01-31 19:00:00,41846.04,43276.19,42545.47,43078.81,11526.63383073
369,2024-02-01 19:00:00,42527.58,43700.0,43080.38,43181.66,12202.24125895
368,2024-02-02 19:00:00,42863.58,43358.13,43183.62,43010.67,2254.45335539
367,2024-02-03 19:00:00,42228.01,43100.0,43007.82,42568.55,2643.251649
366,2024-02-04 19:00:00,42235.0,43520.0,42571.91,42657.67,8756.87806894
365,2024-02-05 19:00:00,42516.07,43372.79,42658.3,43095.79,7940.36830921
364,2024-02-06 19:00:00,42760.44,44430.0,43097.16,44343.61,12440.36853251
363,2024-02-07 19:00:00,44335.0,45637.38,44345.94,45305.2,19283.80580787
362,2024-02-08 19:00:00,45252.93,48230.02,45304.83,47160.41,22108.85067543
361,2024-02-09 19:00:00,46889.53,48179.43,47157.01,47767.06,5663.309891
360,2024-02-10 19:00:00,47590.3,48614.0,47767.06,48316.3,5243.1260706
359,2024-02-11 19:00:00,47715.67,50363.42,48321.14,49941.81,18545.08725852
358,2024-02-12 19:00:00,48327.81,50423.42,49941.95,49725.36,20471.56790372
357,2024-02-13 19:00:00,49253.92,52111.0,49724.55,51858.59,20249.94369733
356,2024-02-14 19:00:00,51353.49,52890.0,51858.51,51934.29,18465.04404385
355,2024-02-15 19:00:00,51597.87,52608.2,51935.23,52162.64,13816.27351282
354,2024-02-16 19:00:00,50642.36,52214.05,52162.65,51666.22,5387.3486576
353,2024-02-17 19:00:00,51174.38,52400.0,51666.23,52153.63,3997.17143898
352,2024-02-18 19:00:00,51687.98,52501.01,52153.63,51787.05,6009.01451962
351,2024-02-19 19:00:00,50764.01,53000.0,51787.05,52277.52,15888.87599974
350,2024-02-20 19:00:00,50628.6,52394.91,52277.53,51851.67,13735.03407249
349,2024-02-21 19:00:00,50905.65,52076.0,51851.46,51258.7,13104.51408087
348,2024-02-22 19:00:00,50513.01,51512.68,51260.29,50747.05,11679.16625824
347,2024-02-23 19:00:00,50576.55,51696.19,50746.98,51570.65,3448.96576791
346,2024-02-24 19:00:00,51275.01,51967.82,51568.63,51731.0,3617.40106809
345,2024-02-25 19:00:00,50901.23,54980.0,51730.96,54533.48,22422.38763854
344,2024-02-26 19:00:00,54490.8,57646.81,54530.32,57077.07,28791.48651731
343,2024-02-27 19:00:00,56723.48,64100.0,57077.08,62518.9,48265.6721171
342,2024-02-28 19:00:00,60355.61,63675.48,62520.06,61179.03,36825.89535085
341,2024-02-29 19:00:00,60788.33,63267.18,61179.03,62436.72,24696.65692545
340,2024-03-01 19:00:00,61623.39,62500.0,62439.74,62045.78,6882.38410251
339,2024-03-02 19:00:00,61388.0,63260.0,62045.78,63154.49,7314.17629968
338,2024-03-03 19:00:00,62300.0,68602.98,63155.74,68360.14,40600.36656889
337,2024-03-04 19:00:00,59224.68,69324.58,68356.7,63800.78,65575.09537327
336,2024-03-05 19:00:00,62832.39,67654.06,63802.15,66122.28,34655.98799427
335,2024-03-06 19:00:00,65599.63,68098.09,66115.48,66938.21,22228.36739914
334,2024-03-07 19:00:00,66157.09,70199.0,66938.21,68289.16,33749.52797544
333,2024-03-08 19:00:00,68047.62,68700.41,68289.16,68480.0,9005.50992187
332,2024-03-09 19:00:00,68221.13,70000.0,68480.01,69032.12,12163.05713369
331,2024-03-10 20:00:00,67112.21,72943.98,69032.8,72110.98,32332.72583229
330,2024-03-11 20:00:00,68603.0,73027.63,72110.98,71475.93,29420.19277654
329,2024-03-12 20:00:00,71337.3,73709.99,71473.43,73135.04,21455.92195688
328,2024-03-13 20:00:00,68454.47,73835.57,73135.04,71364.58,34226.602618
327,2024-03-14 20:00:00,65565.7,72414.96,71364.58,69506.88,40195.84231178
326,2024-03-15 20:00:00,64774.05,70050.0,69514.87,65254.22,16532.825303
325,2024-03-16 20:00:00,64505.0,68877.82,65254.22,68343.64,12631.85084112
324,2024-03-17 20:00:00,66562.65,68933.71,68354.29,67613.04,20057.37580028
323,2024-03-18 20:00:00,61506.0,68136.39,67609.39,61906.27,40111.97553957
322,2024-03-19 20:00:00,60771.14,68150.0,61902.57,67858.8,38590.78345488
321,2024-03-20 20:00:00,64525.0,68234.56,67855.88,65484.7,18523.96247162
320,2024-03-21 20:00:00,62258.36,66651.1,65478.98,63814.56,17807.65930238
319,2024-03-22 20:00:00,63013.19,66029.09,63814.56,63998.86,7395.08270425
318,2024-03-23 20:00:00,63785.57,67637.6,63998.87,67204.93,6535.8276512
317,2024-03-24 20:00:00,66381.84,71269.92,67212.69,69890.28,22228.13803338
316,2024-03-25 20:00:00,69269.69,71582.96,69895.6,69992.4,15697.73440865
315,2024-03-26 20:00:00,68369.62,71789.85,69994.9,69435.96,18703.73738295
314,2024-03-27 20:00:00,68841.01,71635.99,69437.16,70801.18,15224.17928189
313,2024-03-28 20:00:00,69036.95,70941.7,70804.06,69903.75,7365.03204354
312,2024-03-29 20:00:00,69569.03,70363.25,69903.74,69626.87,3262.62331859
311,2024-03-30 20:00:00,69587.86,71399.91,69623.86,71288.9,4424.66955382
310,2024-03-31 20:00:00,68055.15,71313.8,71291.5,69681.82,13916.60016523
309,2024-04-01 20:00:00,64521.61,69711.0,69681.85,65464.14,23496.58634089
308,2024-04-02 20:00:00,64500.0,66944.06,65472.0,65987.92,14506.55934744
307,2024-04-03 20:00:00,65073.95,69367.19,65984.18,68525.23,18624.08140025
306,2024-04-04 20:00:00,66000.0,68783.99,68528.69,67856.51,15515.82134206
305,2024-04-05 20:00:00,67469.19,69685.0,67856.51,68919.89,3985.44167764
304,2024-04-06 20:00:00,68846.23,70312.0,68919.57,69350.34,5766.41938443
303,2024-04-07 20:00:00,69037.33,72777.0,69350.36,71622.53,16648.69284289
302,2024-04-08 20:00:00,68200.0,71761.37,71616.31,69117.01,15143.52341376
301,2024-04-09 20:00:00,67463.07,71159.6,69115.79,70634.04,16655.987797
